city,timestamp,temperature,season
New York,2010-01-01,2.8487468858075737,winter
New York,2010-01-02,2.338648327463223,winter
New York,2010-01-03,4.7225976631328574,winter
New York,2010-01-04,-0.09547203166756599,winter
New York,2010-01-05,3.700563227727569,winter
New York,2010-01-06,0.7416516203912303,winter
New York,2010-01-07,-9.977643189852554,winter
New York,2010-01-08,-4.6672752564823154,winter
New York,2010-01-09,4.101019636840824,winter
New York,2010-01-10,-4.1584673057102775,winter
New York,2010-01-11,3.633351435840871,winter
New York,2010-01-12,3.8697887552246186,winter
New York,2010-01-13,6.285846151530193,winter
New York,2010-01-14,3.6540863841242244,winter
New York,2010-01-15,1.4321620293369053,winter
New York,2010-01-16,1.879485150425774,winter
New York,2010-01-17,2.6871998009237426,winter
New York,2010-01-18,1.5631217521376495,winter
New York,2010-01-19,5.6346777805903105,winter
New York,2010-01-20,-7.098036644538381,winter
New York,2010-01-21,5.153875364306312,winter
New York,2010-01-22,-1.2133207123312688,winter
New York,2010-01-23,-2.0664192195480577,winter
New York,2010-01-24,4.712710725446786,winter
New York,2010-01-25,2.1731377322256002,winter
New York,2010-01-26,-2.1210317893577444,winter
New York,2010-01-27,0.9492639157121318,winter
New York,2010-01-28,3.8695975962201716,winter
New York,2010-01-29,-2.316953356025828,winter
New York,2010-01-30,-4.525894383521666,winter
New York,2010-01-31,2.538087436142653,winter
New York,2010-02-01,-4.812432090679859,winter
New York,2010-02-02,6.37527562641165,winter
New York,2010-02-03,-4.7003884034180246,winter
New York,2010-02-04,-5.547687536203426,winter
New York,2010-02-05,1.385678623827644,winter
New York,2010-02-06,-1.2133143157622543,winter
New York,2010-02-07,-5.179990266168877,winter
New York,2010-02-08,1.8072479822379504,winter
New York,2010-02-09,-1.7162819648663254,winter
New York,2010-02-10,-0.7239499109104308,winter
New York,2010-02-11,4.860353005268764,winter
New York,2010-02-12,-6.265132193701084,winter
New York,2010-02-13,-1.9508857210780053,winter
New York,2010-02-14,3.778073481663093,winter
New York,2010-02-15,-0.8705306813088451,winter
New York,2010-02-16,12.117728096462434,winter
New York,2010-02-17,-0.5298605225195145,winter
New York,2010-02-18,0.2795321666890916,winter
New York,2010-02-19,2.423221488104929,winter
New York,2010-02-20,-4.798555245693597,winter
New York,2010-02-21,-2.4760177141881727,winter
New York,2010-02-22,0.17741373791437576,winter
New York,2010-02-23,3.679528297871961,winter
New York,2010-02-24,-3.595656562097052,winter
New York,2010-02-25,-2.5476151312574706,winter
New York,2010-02-26,5.5483445669850315,winter
New York,2010-02-27,6.987752050746193,winter
New York,2010-02-28,-3.7620860409943613,winter
New York,2010-03-01,6.3469163269959825,spring
New York,2010-03-02,2.4413004603987973,spring
New York,2010-03-03,5.995442416821427,spring
New York,2010-03-04,15.7830726495698,spring
New York,2010-03-05,1.4454167985522233,spring
New York,2010-03-06,13.709446460006395,spring
New York,2010-03-07,8.582260853350896,spring
New York,2010-03-08,8.217672759389492,spring
New York,2010-03-09,8.986918881991306,spring
New York,2010-03-10,5.802196415218717,spring
New York,2010-03-11,15.699311121365351,spring
New York,2010-03-12,12.67488593365579,spring
New York,2010-03-13,6.706938080264186,spring
New York,2010-03-14,0.9642250272265098,spring
New York,2010-03-15,8.655130871662331,spring
New York,2010-03-16,10.448246428883902,spring
New York,2010-03-17,13.045319338242898,spring
New York,2010-03-18,4.578101653446134,spring
New York,2010-03-19,7.883432685036462,spring
New York,2010-03-20,10.002364821995615,spring
New York,2010-03-21,9.221235404138852,spring
New York,2010-03-22,0.7604819523418733,spring
New York,2010-03-23,9.880921730939596,spring
New York,2010-03-24,15.056692862279213,spring
New York,2010-03-25,-0.26959354710959715,spring
New York,2010-03-26,17.289121980251952,spring
New York,2010-03-27,17.114515706781937,spring
New York,2010-03-28,11.92038786891269,spring
New York,2010-03-29,9.102882339845454,spring
New York,2010-03-30,8.353646388187903,spring
New York,2010-03-31,6.718284168520167,spring
New York,2010-04-01,6.836105279772767,spring
New York,2010-04-02,13.331555098950748,spring
New York,2010-04-03,4.809563694117561,spring
New York,2010-04-04,8.716198985244096,spring
New York,2010-04-05,0.3837335734337959,spring
New York,2010-04-06,8.93529106847605,spring
New York,2010-04-07,11.264786020567641,spring
New York,2010-04-08,15.539138935094439,spring
New York,2010-04-09,8.283113499298555,spring
New York,2010-04-10,9.603203129739523,spring
New York,2010-04-11,13.536621128878306,spring
New York,2010-04-12,12.98059548643028,spring
New York,2010-04-13,12.865231194263206,spring
New York,2010-04-14,6.807200026229117,spring
New York,2010-04-15,16.979862609438257,spring
New York,2010-04-16,17.056412682021993,spring
New York,2010-04-17,1.3194765695040562,spring
New York,2010-04-18,11.440324279360421,spring
New York,2010-04-19,7.214090854371779,spring
New York,2010-04-20,10.662198667166347,spring
New York,2010-04-21,16.975231697694266,spring
New York,2010-04-22,14.970256945180171,spring
New York,2010-04-23,9.732994631638563,spring
New York,2010-04-24,6.56580708751895,spring
New York,2010-04-25,9.951743150766628,spring
New York,2010-04-26,6.308984574182765,spring
New York,2010-04-27,9.429677718503918,spring
New York,2010-04-28,20.06521867940972,spring
New York,2010-04-29,10.030305535431527,spring
New York,2010-04-30,8.166442205540477,spring
New York,2010-05-01,9.184172993053,spring
New York,2010-05-02,18.553326733577208,spring
New York,2010-05-03,8.931954419909946,spring
New York,2010-05-04,12.292751518485494,spring
New York,2010-05-05,8.943337532403858,spring
New York,2010-05-06,18.386071839743074,spring
New York,2010-05-07,13.788221276751704,spring
New York,2010-05-08,14.007573320591423,spring
New York,2010-05-09,21.317424725464655,spring
New York,2010-05-10,8.873834737710938,spring
New York,2010-05-11,1.1771668423156854,spring
New York,2010-05-12,8.308938816897689,spring
New York,2010-05-13,4.132104999449739,spring
New York,2010-05-14,13.342091486889894,spring
New York,2010-05-15,8.443192237543473,spring
New York,2010-05-16,11.313588877674583,spring
New York,2010-05-17,10.410483272115615,spring
New York,2010-05-18,13.707793716961485,spring
New York,2010-05-19,2.0490310769155293,spring
New York,2010-05-20,9.95229179197106,spring
New York,2010-05-21,3.9055734792945795,spring
New York,2010-05-22,10.838927901901807,spring
New York,2010-05-23,11.93991737621992,spring
New York,2010-05-24,3.7103821752363455,spring
New York,2010-05-25,8.764004439817448,spring
New York,2010-05-26,13.274683309891673,spring
New York,2010-05-27,3.1593613858800946,spring
New York,2010-05-28,1.9972754076334063,spring
New York,2010-05-29,10.50107055334138,spring
New York,2010-05-30,14.258272046302823,spring
New York,2010-05-31,8.036091146999357,spring
New York,2010-06-01,34.31646343658713,summer
New York,2010-06-02,26.423597449371805,summer
New York,2010-06-03,14.254549350186208,summer
New York,2010-06-04,29.22172278988783,summer
New York,2010-06-05,27.36467352529457,summer
New York,2010-06-06,11.847311010082235,summer
New York,2010-06-07,29.456552521007815,summer
New York,2010-06-08,20.273530786632595,summer
New York,2010-06-09,20.654435733182606,summer
New York,2010-06-10,23.358953300577134,summer
New York,2010-06-11,28.584754079058754,summer
New York,2010-06-12,30.830705716364694,summer
New York,2010-06-13,22.58377775769148,summer
New York,2010-06-14,23.348874777079132,summer
New York,2010-06-15,31.872083579880584,summer
New York,2010-06-16,23.835177173229773,summer
New York,2010-06-17,25.27388306105263,summer
